complaint_id,description,latitude,longitude,location_label,category,priority,priority_score,status,department,affected_count,duration_days,synthetic
SYN-CHN-000358,Water supply disruption reported by residents.,12.985331,80.246526,OMR,Water Supply,MEDIUM,48,IN_PROGRESS,Water Supply Department,19,0,True
SYN-CHN-005445,Damaged road surface reported along a frequently used road.,13.037676,80.224422,Inner Ring Road,Road Damage,LOW,32,RESOLVED,Roads & Highways Department,4,6,True
SYN-CHN-004744,Drainage obstruction or drainage-related civic issue reported.,13.047732,80.24609,Anna Salai,Drainage,LOW,25,IN_PROGRESS,Storm Water Drainage Department,3,11,True
SYN-CHN-013690,Pothole reported on the roadway.,12.958658,80.12954,Chennai synthetic background,Pothole,LOW,33,PENDING,Roads & Highways Department,9,3,True
SYN-CHN-013714,Damaged or deteriorated public infrastructure reported.,12.934097,80.202865,Chennai synthetic background,Public Infrastructure,MEDIUM,49,IN_PROGRESS,Municipal Engineering Department,9,12,True
SYN-CHN-009449,Damaged or deteriorated public infrastructure reported.,12.98313,80.219489,Velachery Main Road,Public Infrastructure,MEDIUM,50,PENDING,Municipal Engineering Department,6,2,True
SYN-CHN-000978,Waterlogging or flooding reported after heavy rainfall.,13.038164,80.281642,ECR,Flooding,MEDIUM,40,PENDING,Storm Water Drainage Department,26,0,True
SYN-CHN-011837,Damaged or deteriorated public infrastructure reported.,13.134264,80.154001,Chennai synthetic background,Public Infrastructure,LOW,24,PENDING,Municipal Engineering Department,7,3,True
SYN-CHN-000169,Streetlight reported as non-functional near a public road segment.,12.899846,80.23625,OMR,Streetlight,MEDIUM,42,RESOLVED,Electrical / Street Lighting Department,9,5,True
SYN-CHN-003015,Garbage accumulation reported in a public area.,13.066205,80.143082,Poonamallee High Road,Garbage,LOW,10,RESOLVED,Solid Waste Management Department,3,14,True
SYN-CHN-010271,Traffic signal or traffic-control infrastructure issue reported.,12.952586,80.189576,Tambaram Radial Road,Traffic Signal,CRITICAL,81,RESOLVED,Traffic Police / Traffic Engineering Department,9,3,True
SYN-CHN-009237,Damaged road surface reported along a frequently used road.,12.977707,80.211364,Velachery Main Road,Road Damage,MEDIUM,57,ASSIGNED,Roads & Highways Department,17,10,True
SYN-CHN-000328,Drainage obstruction or drainage-related civic issue reported.,12.941379,80.242852,OMR,Drainage,LOW,32,PENDING,Storm Water Drainage Department,16,1,True
SYN-CHN-000908,Damaged road surface reported along a frequently used road.,12.985487,80.272459,ECR,Road Damage,LOW,32,RESOLVED,Roads & Highways Department,16,14,True
